index,date,Colombia
1/22/20,2020-01-22,0
1/23/20,2020-01-23,0
1/24/20,2020-01-24,0
1/25/20,2020-01-25,0
1/26/20,2020-01-26,0
1/27/20,2020-01-27,0
1/28/20,2020-01-28,0
1/29/20,2020-01-29,0
1/30/20,2020-01-30,0
1/31/20,2020-01-31,0
2/1/20,2020-02-01,0
2/2/20,2020-02-02,0
2/3/20,2020-02-03,0
2/4/20,2020-02-04,0
2/5/20,2020-02-05,0
2/6/20,2020-02-06,0
2/7/20,2020-02-07,0
2/8/20,2020-02-08,0
2/9/20,2020-02-09,0
2/10/20,2020-02-10,0
2/11/20,2020-02-11,0
2/12/20,2020-02-12,0
2/13/20,2020-02-13,0
2/14/20,2020-02-14,0
2/15/20,2020-02-15,0
2/16/20,2020-02-16,0
2/17/20,2020-02-17,0
2/18/20,2020-02-18,0
2/19/20,2020-02-19,0
2/20/20,2020-02-20,0
2/21/20,2020-02-21,0
2/22/20,2020-02-22,0
2/23/20,2020-02-23,0
2/24/20,2020-02-24,0
2/25/20,2020-02-25,0
2/26/20,2020-02-26,0
2/27/20,2020-02-27,0
2/28/20,2020-02-28,0
2/29/20,2020-02-29,0
3/1/20,2020-03-01,0
3/2/20,2020-03-02,0
3/3/20,2020-03-03,0
3/4/20,2020-03-04,0
3/5/20,2020-03-05,0
3/6/20,2020-03-06,1
3/7/20,2020-03-07,1
3/8/20,2020-03-08,1
3/9/20,2020-03-09,1
3/10/20,2020-03-10,3
3/11/20,2020-03-11,9
3/12/20,2020-03-12,9
3/13/20,2020-03-13,13
3/14/20,2020-03-14,22
3/15/20,2020-03-15,34
3/16/20,2020-03-16,57
3/17/20,2020-03-17,75
3/18/20,2020-03-18,102
3/19/20,2020-03-19,108
3/20/20,2020-03-20,158
3/21/20,2020-03-21,196
3/22/20,2020-03-22,231
3/23/20,2020-03-23,277
3/24/20,2020-03-24,378
3/25/20,2020-03-25,470
3/26/20,2020-03-26,491
3/27/20,2020-03-27,539
3/28/20,2020-03-28,608
3/29/20,2020-03-29,702
3/30/20,2020-03-30,798
3/31/20,2020-03-31,906
4/1/20,2020-04-01,1065
4/2/20,2020-04-02,1161
4/3/20,2020-04-03,1267
4/4/20,2020-04-04,1406
4/5/20,2020-04-05,1485
4/6/20,2020-04-06,1579
4/7/20,2020-04-07,1780
4/8/20,2020-04-08,2054
4/9/20,2020-04-09,2223
4/10/20,2020-04-10,2473
4/11/20,2020-04-11,2709
4/12/20,2020-04-12,2776
4/13/20,2020-04-13,2852
4/14/20,2020-04-14,2979
4/15/20,2020-04-15,3105
4/16/20,2020-04-16,3233
4/17/20,2020-04-17,3439
4/18/20,2020-04-18,3621
4/19/20,2020-04-19,3792
4/20/20,2020-04-20,3977
4/21/20,2020-04-21,4149
4/22/20,2020-04-22,4356
4/23/20,2020-04-23,4561
4/24/20,2020-04-24,4881
4/25/20,2020-04-25,5142
4/26/20,2020-04-26,5379
4/27/20,2020-04-27,5597
4/28/20,2020-04-28,5949
4/29/20,2020-04-29,6207
4/30/20,2020-04-30,6507
5/1/20,2020-05-01,7006
5/2/20,2020-05-02,7285
5/3/20,2020-05-03,7668
5/4/20,2020-05-04,7973
5/5/20,2020-05-05,8613
5/6/20,2020-05-06,8959
5/7/20,2020-05-07,9456
5/8/20,2020-05-08,10051
5/9/20,2020-05-09,10495
5/10/20,2020-05-10,11063
5/11/20,2020-05-11,11613
5/12/20,2020-05-12,12272
5/13/20,2020-05-13,12930
5/14/20,2020-05-14,13610
5/15/20,2020-05-15,14216
5/16/20,2020-05-16,14939
5/17/20,2020-05-17,15574
5/18/20,2020-05-18,16295
5/19/20,2020-05-19,16935
5/20/20,2020-05-20,17687
5/21/20,2020-05-21,18330
5/22/20,2020-05-22,19131
5/23/20,2020-05-23,20177
5/24/20,2020-05-24,21175
5/25/20,2020-05-25,21981
5/26/20,2020-05-26,23003
5/27/20,2020-05-27,24104
5/28/20,2020-05-28,25366
5/29/20,2020-05-29,26688
5/30/20,2020-05-30,28236
5/31/20,2020-05-31,29383
6/1/20,2020-06-01,30493
6/2/20,2020-06-02,31833
6/3/20,2020-06-03,33354
6/4/20,2020-06-04,35120
6/5/20,2020-06-05,36635
6/6/20,2020-06-06,38027
6/7/20,2020-06-07,39236
6/8/20,2020-06-08,40719
6/9/20,2020-06-09,42078
6/10/20,2020-06-10,43682
6/11/20,2020-06-11,45212
6/12/20,2020-06-12,46858
6/13/20,2020-06-13,48746
6/14/20,2020-06-14,50939
6/15/20,2020-06-15,53063
6/16/20,2020-06-16,54931
6/17/20,2020-06-17,57046
6/18/20,2020-06-18,60217
6/19/20,2020-06-19,63276
6/20/20,2020-06-20,65633
6/21/20,2020-06-21,68652
6/22/20,2020-06-22,71183
6/23/20,2020-06-23,73572
6/24/20,2020-06-24,77113
6/25/20,2020-06-25,80599
6/26/20,2020-06-26,84442
6/27/20,2020-06-27,88591
6/28/20,2020-06-28,91769
6/29/20,2020-06-29,95043
6/30/20,2020-06-30,97846
7/1/20,2020-07-01,102009
7/2/20,2020-07-02,106110
7/3/20,2020-07-03,109505
7/4/20,2020-07-04,113389
7/5/20,2020-07-05,117110
7/6/20,2020-07-06,120281
7/7/20,2020-07-07,124494
7/8/20,2020-07-08,128638
7/9/20,2020-07-09,133973
7/10/20,2020-07-10,140776
7/11/20,2020-07-11,145632
7/12/20,2020-07-12,150445
7/13/20,2020-07-13,154277
7/14/20,2020-07-14,159898
7/15/20,2020-07-15,165169
7/16/20,2020-07-16,173206
7/17/20,2020-07-17,182140
7/18/20,2020-07-18,190700
7/19/20,2020-07-19,197278
7/20/20,2020-07-20,204005
7/21/20,2020-07-21,211038
7/22/20,2020-07-22,218428
7/23/20,2020-07-23,226373
7/24/20,2020-07-24,233541
7/25/20,2020-07-25,240795
7/26/20,2020-07-26,248976
7/27/20,2020-07-27,257101
7/28/20,2020-07-28,267385
7/29/20,2020-07-29,276055
7/30/20,2020-07-30,286020
7/31/20,2020-07-31,295508
8/1/20,2020-08-01,306181
8/2/20,2020-08-02,317651
8/3/20,2020-08-03,327850
8/4/20,2020-08-04,334979
8/5/20,2020-08-05,345714
8/6/20,2020-08-06,357710
8/7/20,2020-08-07,367204
8/8/20,2020-08-08,376870
8/9/20,2020-08-09,387481
8/10/20,2020-08-10,397623
8/11/20,2020-08-11,410453
8/12/20,2020-08-12,422519
8/13/20,2020-08-13,433805
8/14/20,2020-08-14,445111
8/15/20,2020-08-15,456689
8/16/20,2020-08-16,468332
8/17/20,2020-08-17,476660
8/18/20,2020-08-18,489122
8/19/20,2020-08-19,502178
8/20/20,2020-08-20,513719
8/21/20,2020-08-21,522138
8/22/20,2020-08-22,533103
8/23/20,2020-08-23,541139
8/24/20,2020-08-24,551688
8/25/20,2020-08-25,562113
8/26/20,2020-08-26,572243
8/27/20,2020-08-27,581995
8/28/20,2020-08-28,590492
8/29/20,2020-08-29,599884
8/30/20,2020-08-30,607904
8/31/20,2020-08-31,615094
9/1/20,2020-09-01,624026
9/2/20,2020-09-02,633321
9/3/20,2020-09-03,641574
9/4/20,2020-09-04,650063
9/5/20,2020-09-05,658456
9/6/20,2020-09-06,666521
9/7/20,2020-09-07,671848
9/8/20,2020-09-08,679513
9/9/20,2020-09-09,686851
9/10/20,2020-09-10,694664
9/11/20,2020-09-11,702088
9/12/20,2020-09-12,708964
9/13/20,2020-09-13,716319
9/14/20,2020-09-14,721892
9/15/20,2020-09-15,728590
9/16/20,2020-09-16,736377
9/17/20,2020-09-17,743945
9/18/20,2020-09-18,750471
9/19/20,2020-09-19,758398
9/20/20,2020-09-20,765076
9/21/20,2020-09-21,770435
9/22/20,2020-09-22,777537
9/23/20,2020-09-23,784268
9/24/20,2020-09-24,790823
9/25/20,2020-09-25,798317
9/26/20,2020-09-26,806038
9/27/20,2020-09-27,813056
9/28/20,2020-09-28,818203
9/29/20,2020-09-29,824042
9/30/20,2020-09-30,829679
10/1/20,2020-10-01,835339
10/2/20,2020-10-02,841532
10/3/20,2020-10-03,848147
10/4/20,2020-10-04,855052
10/5/20,2020-10-05,862158
10/6/20,2020-10-06,869808
10/7/20,2020-10-07,877684
10/8/20,2020-10-08,886179
10/9/20,2020-10-09,894300
10/10/20,2020-10-10,902747
10/11/20,2020-10-11,911316
10/12/20,2020-10-12,919084
10/13/20,2020-10-13,924098
10/14/20,2020-10-14,930159
10/15/20,2020-10-15,936982
10/16/20,2020-10-16,945354
10/17/20,2020-10-17,952371
