index,date,months,casos/dia,Country/Region
2020-01-31,2020-01-31,1,0,Afghanistan
2020-02-29,2020-02-29,2,1,Afghanistan
2020-03-31,2020-03-31,3,174,Afghanistan
2020-04-30,2020-04-30,4,2171,Afghanistan
2020-05-31,2020-05-31,5,15205,Afghanistan
2020-06-30,2020-06-30,6,31517,Afghanistan
2020-07-31,2020-07-31,7,36675,Afghanistan
2020-08-31,2020-08-31,8,38165,Afghanistan
2020-09-30,2020-09-30,9,39268,Afghanistan
2020-10-31,2020-10-17,10,40141,Afghanistan
2020-01-31,2020-01-31,1,0,Albania
2020-02-29,2020-02-29,2,0,Albania
2020-03-31,2020-03-31,3,243,Albania
2020-04-30,2020-04-30,4,773,Albania
2020-05-31,2020-05-31,5,1137,Albania
2020-06-30,2020-06-30,6,2535,Albania
2020-07-31,2020-07-31,7,5276,Albania
2020-08-31,2020-08-31,8,9513,Albania
2020-09-30,2020-09-30,9,13649,Albania
2020-10-31,2020-10-17,10,16774,Albania
2020-01-31,2020-01-31,1,0,Algeria
2020-02-29,2020-02-29,2,1,Algeria
2020-03-31,2020-03-31,3,716,Algeria
2020-04-30,2020-04-30,4,4006,Algeria
2020-05-31,2020-05-31,5,9394,Algeria
2020-06-30,2020-06-30,6,13907,Algeria
2020-07-31,2020-07-31,7,30394,Algeria
2020-08-31,2020-08-31,8,44494,Algeria
2020-09-30,2020-09-30,9,51530,Algeria
2020-10-31,2020-10-17,10,54203,Algeria
2020-01-31,2020-01-31,1,0,Andorra
2020-02-29,2020-02-29,2,0,Andorra
2020-03-31,2020-03-31,3,376,Andorra
2020-04-30,2020-04-30,4,745,Andorra
2020-05-31,2020-05-31,5,764,Andorra
2020-06-30,2020-06-30,6,855,Andorra
2020-07-31,2020-07-31,7,925,Andorra
2020-08-31,2020-08-31,8,1176,Andorra
2020-09-30,2020-09-30,9,2050,Andorra
2020-10-31,2020-10-17,10,3377,Andorra
2020-01-31,2020-01-31,1,0,Angola
2020-02-29,2020-02-29,2,0,Angola
2020-03-31,2020-03-31,3,7,Angola
2020-04-30,2020-04-30,4,27,Angola
2020-05-31,2020-05-31,5,86,Angola
2020-06-30,2020-06-30,6,284,Angola
2020-07-31,2020-07-31,7,1148,Angola
2020-08-31,2020-08-31,8,2654,Angola
2020-09-30,2020-09-30,9,4972,Angola
2020-10-31,2020-10-17,10,7462,Angola
2020-01-31,2020-01-31,1,0,Antigua and Barbuda
2020-02-29,2020-02-29,2,0,Antigua and Barbuda
2020-03-31,2020-03-31,3,7,Antigua and Barbuda
2020-04-30,2020-04-30,4,24,Antigua and Barbuda
2020-05-31,2020-05-31,5,26,Antigua and Barbuda
2020-06-30,2020-06-30,6,69,Antigua and Barbuda
2020-07-31,2020-07-31,7,91,Antigua and Barbuda
2020-08-31,2020-08-31,8,94,Antigua and Barbuda
2020-09-30,2020-09-30,9,101,Antigua and Barbuda
2020-10-31,2020-10-17,10,119,Antigua and Barbuda
2020-01-31,2020-01-31,1,0,Argentina
2020-02-29,2020-02-29,2,0,Argentina
2020-03-31,2020-03-31,3,1054,Argentina
2020-04-30,2020-04-30,4,4428,Argentina
2020-05-31,2020-05-31,5,16851,Argentina
2020-06-30,2020-06-30,6,64530,Argentina
2020-07-31,2020-07-31,7,191302,Argentina
2020-08-31,2020-08-31,8,417735,Argentina
2020-09-30,2020-09-30,9,751001,Argentina
2020-10-31,2020-10-17,10,979119,Argentina
2020-01-31,2020-01-31,1,0,Armenia
2020-02-29,2020-02-29,2,0,Armenia
2020-03-31,2020-03-31,3,532,Armenia
2020-04-30,2020-04-30,4,2066,Armenia
2020-05-31,2020-05-31,5,9282,Armenia
2020-06-30,2020-06-30,6,25542,Armenia
2020-07-31,2020-07-31,7,38550,Armenia
2020-08-31,2020-08-31,8,43781,Armenia
2020-09-30,2020-09-30,9,50359,Armenia
2020-10-31,2020-10-17,10,63000,Armenia
2020-01-31,2020-01-31,1,9,Australia
2020-02-29,2020-02-29,2,25,Australia
2020-03-31,2020-03-31,3,4559,Australia
2020-04-30,2020-04-30,4,6766,Australia
2020-05-31,2020-05-31,5,7202,Australia
2020-06-30,2020-06-30,6,7920,Australia
2020-07-31,2020-07-31,7,17280,Australia
2020-08-31,2020-08-31,8,25819,Australia
2020-09-30,2020-09-30,9,27096,Australia
2020-10-31,2020-10-17,10,27390,Australia
2020-01-31,2020-01-31,1,0,Austria
2020-02-29,2020-02-29,2,9,Austria
2020-03-31,2020-03-31,3,10180,Austria
2020-04-30,2020-04-30,4,15452,Austria
2020-05-31,2020-05-31,5,16731,Austria
2020-06-30,2020-06-30,6,17766,Austria
2020-07-31,2020-07-31,7,21130,Austria
2020-08-31,2020-08-31,8,27438,Austria
2020-09-30,2020-09-30,9,44813,Austria
2020-10-31,2020-10-17,10,63134,Austria
2020-01-31,2020-01-31,1,0,Azerbaijan
2020-02-29,2020-02-29,2,0,Azerbaijan
2020-03-31,2020-03-31,3,298,Azerbaijan
2020-04-30,2020-04-30,4,1804,Azerbaijan
2020-05-31,2020-05-31,5,5494,Azerbaijan
2020-06-30,2020-06-30,6,17524,Azerbaijan
2020-07-31,2020-07-31,7,31878,Azerbaijan
2020-08-31,2020-08-31,8,36435,Azerbaijan
2020-09-30,2020-09-30,9,40229,Azerbaijan
2020-10-31,2020-10-17,10,44317,Azerbaijan
2020-01-31,2020-01-31,1,0,Bahamas
2020-02-29,2020-02-29,2,0,Bahamas
2020-03-31,2020-03-31,3,14,Bahamas
2020-04-30,2020-04-30,4,81,Bahamas
2020-05-31,2020-05-31,5,102,Bahamas
2020-06-30,2020-06-30,6,104,Bahamas
2020-07-31,2020-07-31,7,574,Bahamas
2020-08-31,2020-08-31,8,2217,Bahamas
2020-09-30,2020-09-30,9,4123,Bahamas
2020-10-31,2020-10-17,10,5628,Bahamas
2020-01-31,2020-01-31,1,0,Bahrain
2020-02-29,2020-02-29,2,41,Bahrain
2020-03-31,2020-03-31,3,567,Bahrain
2020-04-30,2020-04-30,4,3040,Bahrain
2020-05-31,2020-05-31,5,11398,Bahrain
2020-06-30,2020-06-30,6,26758,Bahrain
2020-07-31,2020-07-31,7,40982,Bahrain
2020-08-31,2020-08-31,8,51972,Bahrain
2020-09-30,2020-09-30,9,70864,Bahrain
2020-10-31,2020-10-17,10,77571,Bahrain
2020-01-31,2020-01-31,1,0,Bangladesh
2020-02-29,2020-02-29,2,0,Bangladesh
2020-03-31,2020-03-31,3,51,Bangladesh
2020-04-30,2020-04-30,4,7667,Bangladesh
2020-05-31,2020-05-31,5,47153,Bangladesh
2020-06-30,2020-06-30,6,145483,Bangladesh
2020-07-31,2020-07-31,7,237661,Bangladesh
2020-08-31,2020-08-31,8,312996,Bangladesh
2020-09-30,2020-09-30,9,363479,Bangladesh
2020-10-31,2020-10-17,10,387295,Bangladesh
2020-01-31,2020-01-31,1,0,Barbados
2020-02-29,2020-02-29,2,0,Barbados
2020-03-31,2020-03-31,3,34,Barbados
2020-04-30,2020-04-30,4,81,Barbados
2020-05-31,2020-05-31,5,92,Barbados
2020-06-30,2020-06-30,6,97,Barbados
2020-07-31,2020-07-31,7,110,Barbados
2020-08-31,2020-08-31,8,174,Barbados
2020-09-30,2020-09-30,9,190,Barbados
2020-10-31,2020-10-17,10,219,Barbados
2020-01-31,2020-01-31,1,0,Belarus
2020-02-29,2020-02-29,2,1,Belarus
2020-03-31,2020-03-31,3,152,Belarus
2020-04-30,2020-04-30,4,14027,Belarus
2020-05-31,2020-05-31,5,42556,Belarus
2020-06-30,2020-06-30,6,62118,Belarus
2020-07-31,2020-07-31,7,67808,Belarus
2020-08-31,2020-08-31,8,71843,Belarus
2020-09-30,2020-09-30,9,78631,Belarus
2020-10-31,2020-10-17,10,87063,Belarus
2020-01-31,2020-01-31,1,0,Belgium
2020-02-29,2020-02-29,2,1,Belgium
2020-03-31,2020-03-31,3,12775,Belgium
2020-04-30,2020-04-30,4,48519,Belgium
2020-05-31,2020-05-31,5,58381,Belgium
2020-06-30,2020-06-30,6,61427,Belgium
2020-07-31,2020-07-31,7,68751,Belgium
2020-08-31,2020-08-31,8,85236,Belgium
2020-09-30,2020-09-30,9,118452,Belgium
2020-10-31,2020-10-17,10,213115,Belgium
2020-01-31,2020-01-31,1,0,Belize
2020-02-29,2020-02-29,2,0,Belize
2020-03-31,2020-03-31,3,3,Belize
2020-04-30,2020-04-30,4,18,Belize
2020-05-31,2020-05-31,5,18,Belize
2020-06-30,2020-06-30,6,24,Belize
2020-07-31,2020-07-31,7,48,Belize
2020-08-31,2020-08-31,8,1007,Belize
2020-09-30,2020-09-30,9,1992,Belize
2020-10-31,2020-10-17,10,2775,Belize
2020-01-31,2020-01-31,1,0,Benin
2020-02-29,2020-02-29,2,0,Benin
2020-03-31,2020-03-31,3,9,Benin
2020-04-30,2020-04-30,4,64,Benin
2020-05-31,2020-05-31,5,339,Benin
2020-06-30,2020-06-30,6,1199,Benin
2020-07-31,2020-07-31,7,1805,Benin
2020-08-31,2020-08-31,8,2145,Benin
2020-09-30,2020-09-30,9,2357,Benin
2020-10-31,2020-10-17,10,2496,Benin
2020-01-31,2020-01-31,1,0,Bhutan
2020-02-29,2020-02-29,2,0,Bhutan
2020-03-31,2020-03-31,3,4,Bhutan
2020-04-30,2020-04-30,4,7,Bhutan
2020-05-31,2020-05-31,5,43,Bhutan
2020-06-30,2020-06-30,6,77,Bhutan
2020-07-31,2020-07-31,7,101,Bhutan
2020-08-31,2020-08-31,8,225,Bhutan
2020-09-30,2020-09-30,9,282,Bhutan
2020-10-31,2020-10-17,10,325,Bhutan
2020-01-31,2020-01-31,1,0,Bolivia
2020-02-29,2020-02-29,2,0,Bolivia
2020-03-31,2020-03-31,3,107,Bolivia
2020-04-30,2020-04-30,4,1167,Bolivia
2020-05-31,2020-05-31,5,9982,Bolivia
2020-06-30,2020-06-30,6,33219,Bolivia
2020-07-31,2020-07-31,7,76789,Bolivia
2020-08-31,2020-08-31,8,116598,Bolivia
2020-09-30,2020-09-30,9,135311,Bolivia
2020-10-31,2020-10-17,10,139710,Bolivia
2020-01-31,2020-01-31,1,0,Bosnia and Herzegovina
2020-02-29,2020-02-29,2,0,Bosnia and Herzegovina
2020-03-31,2020-03-31,3,420,Bosnia and Herzegovina
2020-04-30,2020-04-30,4,1757,Bosnia and Herzegovina
2020-05-31,2020-05-31,5,2510,Bosnia and Herzegovina
2020-06-30,2020-06-30,6,4453,Bosnia and Herzegovina
2020-07-31,2020-07-31,7,11876,Bosnia and Herzegovina
2020-08-31,2020-08-31,8,19964,Bosnia and Herzegovina
2020-09-30,2020-09-30,9,27469,Bosnia and Herzegovina
2020-10-31,2020-10-17,10,33561,Bosnia and Herzegovina
2020-01-31,2020-01-31,1,0,Botswana
2020-02-29,2020-02-29,2,0,Botswana
2020-03-31,2020-03-31,3,4,Botswana
2020-04-30,2020-04-30,4,23,Botswana
2020-05-31,2020-05-31,5,35,Botswana
2020-06-30,2020-06-30,6,227,Botswana
2020-07-31,2020-07-31,7,804,Botswana
2020-08-31,2020-08-31,8,1633,Botswana
2020-09-30,2020-09-30,9,3172,Botswana
2020-10-31,2020-10-17,10,5242,Botswana
2020-01-31,2020-01-31,1,0,Brazil
2020-02-29,2020-02-29,2,2,Brazil
2020-03-31,2020-03-31,3,5717,Brazil
2020-04-30,2020-04-30,4,87187,Brazil
2020-05-31,2020-05-31,5,514849,Brazil
2020-06-30,2020-06-30,6,1402041,Brazil
2020-07-31,2020-07-31,7,2662485,Brazil
2020-08-31,2020-08-31,8,3908272,Brazil
2020-09-30,2020-09-30,9,4810935,Brazil
2020-10-31,2020-10-17,10,5224362,Brazil
2020-01-31,2020-01-31,1,0,Brunei
2020-02-29,2020-02-29,2,0,Brunei
2020-03-31,2020-03-31,3,129,Brunei
2020-04-30,2020-04-30,4,138,Brunei
2020-05-31,2020-05-31,5,141,Brunei
2020-06-30,2020-06-30,6,141,Brunei
2020-07-31,2020-07-31,7,141,Brunei
2020-08-31,2020-08-31,8,144,Brunei
2020-09-30,2020-09-30,9,146,Brunei
2020-10-31,2020-10-17,10,147,Brunei
2020-01-31,2020-01-31,1,0,Bulgaria
2020-02-29,2020-02-29,2,0,Bulgaria
2020-03-31,2020-03-31,3,399,Bulgaria
2020-04-30,2020-04-30,4,1506,Bulgaria
2020-05-31,2020-05-31,5,2513,Bulgaria
2020-06-30,2020-06-30,6,4989,Bulgaria
2020-07-31,2020-07-31,7,11690,Bulgaria
2020-08-31,2020-08-31,8,16266,Bulgaria
2020-09-30,2020-09-30,9,20833,Bulgaria
2020-10-31,2020-10-17,10,29108,Bulgaria
2020-01-31,2020-01-31,1,0,Burkina Faso
2020-02-29,2020-02-29,2,0,Burkina Faso
2020-03-31,2020-03-31,3,261,Burkina Faso
2020-04-30,2020-04-30,4,645,Burkina Faso
2020-05-31,2020-05-31,5,847,Burkina Faso
2020-06-30,2020-06-30,6,962,Burkina Faso
2020-07-31,2020-07-31,7,1106,Burkina Faso
2020-08-31,2020-08-31,8,1368,Burkina Faso
2020-09-30,2020-09-30,9,2056,Burkina Faso
2020-10-31,2020-10-17,10,2343,Burkina Faso
2020-01-31,2020-01-31,1,0,Burma
2020-02-29,2020-02-29,2,0,Burma
2020-03-31,2020-03-31,3,15,Burma
2020-04-30,2020-04-30,4,151,Burma
2020-05-31,2020-05-31,5,224,Burma
2020-06-30,2020-06-30,6,299,Burma
2020-07-31,2020-07-31,7,353,Burma
2020-08-31,2020-08-31,8,882,Burma
2020-09-30,2020-09-30,9,13373,Burma
2020-10-31,2020-10-17,10,34875,Burma
2020-01-31,2020-01-31,1,0,Burundi
2020-02-29,2020-02-29,2,0,Burundi
2020-03-31,2020-03-31,3,2,Burundi
