index,Province/State,Country/Region,Lat,Long,Region,lat_long,Casos totales 
0,,Afghanistan,33.93911,67.709953, Afghanistan,"33.93911,67.709953",40141
1,,Albania,41.1533,20.1683, Albania,"41.1533,20.1683",16774
2,,Algeria,28.0339,1.6596, Algeria,"28.0339,1.6596",54203
3,,Andorra,42.5063,1.5218, Andorra,"42.5063,1.5218",3377
4,,Angola,-11.2027,17.8739, Angola,"-11.2027,17.8739",7462
5,,Antigua and Barbuda,17.0608,-61.7964, Antigua and Barbuda,"17.0608,-61.7964",119
6,,Argentina,-38.4161,-63.6167, Argentina,"-38.4161,-63.6167",979119
7,,Armenia,40.0691,45.0382, Armenia,"40.0691,45.0382",63000
8,Australian Capital Territory,Australia,-35.4735,149.0124,Australian Capital Territory Australia,"-35.4735,149.0124",113
9,New South Wales,Australia,-33.8688,151.2093,New South Wales Australia,"-33.8688,151.2093",4338
10,Northern Territory,Australia,-12.4634,130.8456,Northern Territory Australia,"-12.4634,130.8456",33
11,Queensland,Australia,-27.4698,153.0251,Queensland Australia,"-27.4698,153.0251",1164
12,South Australia,Australia,-34.9285,138.6007,South Australia Australia,"-34.9285,138.6007",482
13,Tasmania,Australia,-42.8821,147.3272,Tasmania Australia,"-42.8821,147.3272",230
14,Victoria,Australia,-37.8136,144.9631,Victoria Australia,"-37.8136,144.9631",20319
15,Western Australia,Australia,-31.9505,115.8605,Western Australia Australia,"-31.9505,115.8605",711
16,,Austria,47.5162,14.5501, Austria,"47.5162,14.5501",63134
17,,Azerbaijan,40.1431,47.5769, Azerbaijan,"40.1431,47.5769",44317
18,,Bahamas,25.025885,-78.035889, Bahamas,"25.025885,-78.035889",5628
19,,Bahrain,26.0275,50.55, Bahrain,"26.0275,50.55",77571
20,,Bangladesh,23.685,90.3563, Bangladesh,"23.685,90.3563",387295
21,,Barbados,13.1939,-59.5432, Barbados,"13.1939,-59.5432",219
22,,Belarus,53.7098,27.9534, Belarus,"53.7098,27.9534",87063
23,,Belgium,50.8333,4.469936, Belgium,"50.8333,4.469936",213115
24,,Belize,17.1899,-88.4976, Belize,"17.1899,-88.4976",2775
25,,Benin,9.3077,2.3158, Benin,"9.3077,2.3158",2496
26,,Bhutan,27.5142,90.4336, Bhutan,"27.5142,90.4336",325
27,,Bolivia,-16.2902,-63.5887, Bolivia,"-16.2902,-63.5887",139710
28,,Bosnia and Herzegovina,43.9159,17.6791, Bosnia and Herzegovina,"43.9159,17.6791",33561
29,,Botswana,-22.3285,24.6849, Botswana,"-22.3285,24.6849",5242
30,,Brazil,-14.235,-51.9253, Brazil,"-14.235,-51.9253",5224362
31,,Brunei,4.5353,114.7277, Brunei,"4.5353,114.7277",147
32,,Bulgaria,42.7339,25.4858, Bulgaria,"42.7339,25.4858",29108
33,,Burkina Faso,12.2383,-1.5616, Burkina Faso,"12.2383,-1.5616",2343
34,,Burma,21.9162,95.956, Burma,"21.9162,95.956",34875
35,,Burundi,-3.3731,29.9189, Burundi,"-3.3731,29.9189",536
36,,Cabo Verde,16.5388,-23.0418, Cabo Verde,"16.5388,-23.0418",7638
37,,Cambodia,11.55,104.9167, Cambodia,"11.55,104.9167",283
38,,Cameroon,3.848,11.5021, Cameroon,"3.848,11.5021",21441
39,Alberta,Canada,53.9333,-116.5765,Alberta Canada,"53.9333,-116.5765",21775
40,British Columbia,Canada,53.7267,-127.6476,British Columbia Canada,"53.7267,-127.6476",11189
41,Diamond Princess,Canada,0.0,0.0,Diamond Princess Canada,"0.0,0.0",0
42,Grand Princess,Canada,0.0,0.0,Grand Princess Canada,"0.0,0.0",13
43,Manitoba,Canada,53.7609,-98.8139,Manitoba Canada,"53.7609,-98.8139",3173
44,New Brunswick,Canada,46.5653,-66.4619,New Brunswick Canada,"46.5653,-66.4619",297
45,Newfoundland and Labrador,Canada,53.1355,-57.6604,Newfoundland and Labrador Canada,"53.1355,-57.6604",287
46,Northwest Territories,Canada,64.8255,-124.8457,Northwest Territories Canada,"64.8255,-124.8457",5
47,Nova Scotia,Canada,44.682,-63.7443,Nova Scotia Canada,"44.682,-63.7443",1093
48,Ontario,Canada,51.2538,-85.3232,Ontario Canada,"51.2538,-85.3232",65869
49,Prince Edward Island,Canada,46.5107,-63.4168,Prince Edward Island Canada,"46.5107,-63.4168",63
50,Quebec,Canada,52.9399,-73.5491,Quebec Canada,"52.9399,-73.5491",91018
51,Saskatchewan,Canada,52.9399,-106.4509,Saskatchewan Canada,"52.9399,-106.4509",2270
52,Yukon,Canada,64.2823,-135.0,Yukon Canada,"64.2823,-135.0",15
53,,Central African Republic,6.6111,20.9394, Central African Republic,"6.6111,20.9394",4855
54,,Chad,15.4542,18.7322, Chad,"15.4542,18.7322",1365
55,,Chile,-35.6751,-71.543, Chile,"-35.6751,-71.543",490003
56,Anhui,China,31.8257,117.2264,Anhui China,"31.8257,117.2264",991
57,Beijing,China,40.1824,116.4142,Beijing China,"40.1824,116.4142",937
58,Chongqing,China,30.0572,107.874,Chongqing China,"30.0572,107.874",586
59,Fujian,China,26.0789,117.9874,Fujian China,"26.0789,117.9874",417
60,Gansu,China,35.7518,104.2861,Gansu China,"35.7518,104.2861",170
61,Guangdong,China,23.3417,113.4244,Guangdong China,"23.3417,113.4244",1881
62,Guangxi,China,23.8298,108.7881,Guangxi China,"23.8298,108.7881",260
63,Guizhou,China,26.8154,106.8748,Guizhou China,"26.8154,106.8748",147
64,Hainan,China,19.1959,109.7453,Hainan China,"19.1959,109.7453",171
65,Hebei,China,39.549,116.1306,Hebei China,"39.549,116.1306",368
66,Heilongjiang,China,47.862,127.7615,Heilongjiang China,"47.862,127.7615",948
67,Henan,China,37.8957,114.9042,Henan China,"37.8957,114.9042",1281
68,Hong Kong,China,22.3,114.2,Hong Kong China,"22.3,114.2",5237
69,Hubei,China,30.9756,112.2707,Hubei China,"30.9756,112.2707",68139
70,Hunan,China,27.6104,111.7088,Hunan China,"27.6104,111.7088",1019
71,Inner Mongolia,China,44.0935,113.9448,Inner Mongolia China,"44.0935,113.9448",275
72,Jiangsu,China,32.9711,119.455,Jiangsu China,"32.9711,119.455",669
73,Jiangxi,China,27.614,115.7221,Jiangxi China,"27.614,115.7221",935
74,Jilin,China,43.6661,126.1923,Jilin China,"43.6661,126.1923",157
75,Liaoning,China,41.2956,122.6085,Liaoning China,"41.2956,122.6085",280
76,Macau,China,22.1667,113.55,Macau China,"22.1667,113.55",46
77,Ningxia,China,37.2692,106.1655,Ningxia China,"37.2692,106.1655",75
78,Qinghai,China,35.7452,95.9956,Qinghai China,"35.7452,95.9956",18
79,Shaanxi,China,35.1917,108.8701,Shaanxi China,"35.1917,108.8701",436
80,Shandong,China,36.3427,118.1498,Shandong China,"36.3427,118.1498",845
81,Shanghai,China,31.202,121.4491,Shanghai China,"31.202,121.4491",1085
82,Shanxi,China,37.5777,112.2922,Shanxi China,"37.5777,112.2922",208
83,Sichuan,China,30.6171,102.7103,Sichuan China,"30.6171,102.7103",725
84,Tianjin,China,39.3054,117.323,Tianjin China,"39.3054,117.323",252
85,Tibet,China,31.6927,88.0924,Tibet China,"31.6927,88.0924",1
86,Xinjiang,China,41.1129,85.2401,Xinjiang China,"41.1129,85.2401",902
87,Yunnan,China,24.974,101.487,Yunnan China,"24.974,101.487",211
88,Zhejiang,China,29.1832,120.0934,Zhejiang China,"29.1832,120.0934",1283
89,,Colombia,4.5709,-74.2973, Colombia,"4.5709,-74.2973",952371
90,,Comoros,-11.6455,43.3333, Comoros,"-11.6455,43.3333",502
91,,Congo (Brazzaville),-0.228,15.8277, Congo (Brazzaville),"-0.228,15.8277",5156
92,,Congo (Kinshasa),-4.0383,21.7587, Congo (Kinshasa),"-4.0383,21.7587",11000
93,,Costa Rica,9.7489,-83.7534, Costa Rica,"9.7489,-83.7534",95514
94,,Cote d'Ivoire,7.54,-5.5471, Cote d'Ivoire,"7.54,-5.5471",20301
95,,Croatia,45.1,15.2, Croatia,"45.1,15.2",24761
96,,Cuba,21.521757,-77.78116700000002, Cuba,"21.521757,-77.78116700000002",6170
97,,Cyprus,35.1264,33.4299, Cyprus,"35.1264,33.4299",2581
98,,Czechia,49.8175,15.473, Czechia,"49.8175,15.473",168827
99,Faroe Islands,Denmark,61.8926,-6.9118,Faroe Islands Denmark,"61.8926,-6.9118",483
100,Greenland,Denmark,71.7069,-42.6043,Greenland Denmark,"71.7069,-42.6043",16
101,,Denmark,56.2639,9.5018, Denmark,"56.2639,9.5018",34941
102,,Diamond Princess,0.0,0.0, Diamond Princess,"0.0,0.0",712
103,,Djibouti,11.8251,42.5903, Djibouti,"11.8251,42.5903",5452
104,,Dominica,15.415,-61.371, Dominica,"15.415,-61.371",33
